decision,raw_name,receipt_price,rank,score,evidence,catalog_name,brand,pack_size,catalog_price,article_number,url
n,Drachenzungen Eis bu,4.99,2,4.7,search#2 name:drachenzungen,Drachenzungen Kratzeis,Hitschler,"0,8 l (2,50 € / 1 l)",2.0,4003840004036,https://produkte.globus.de/tiefkuehlprodukte/eis/wassereis/4003840004036/drachenzungen-kratzeis
y,FEINSTES H?HNCHENBRU,1.69,1,3.0,search#1,"Hähnchenbrustfilet, Natur",Ponnath,"0,15 kg (12,53 € / 1 kg)",1.88,4000930534077,https://produkte.globus.de/fleisch-wurst/wurst-aufschnitt/kochschinken-braten/4000930534077/haehnchenbrustfilet-natur
y,FEINSTES H?HNCHENBRU,1.69,2,2.7,search#2,Hähnchenbrustfilet mit Kräutern der Provence,Ponnath,"0,15 kg (13,33 € / 1 kg)",,4000930534060,https://produkte.globus.de/fleisch-wurst/wurst-aufschnitt/kochschinken-braten/4000930534060/haehnchenbrustfilet-mit-kraeutern-der-provence
y,GLOBUS Konf.Erdbeer,1.79,1,5.0,search#1 brand:globus,"Konfitüre extra, Erdbeere",GLOBUS,"0,34 kg (5,85 € / 1 kg)",,4304218731357,https://produkte.globus.de/brot-backwaren-fruehstueck/aufstriche/fruchtaufstriche/4304218731357/konfituere-extra-erdbeere
n,GLOBUS Konf.Erdbeer,1.79,2,4.7,search#2 brand:globus,"Erdbeerkonfitüre, passiert",GLOBUS,"0,33 kg (6,94 € / 1 kg)",2.29,4304218732897,https://produkte.globus.de/brot-backwaren-fruehstueck/aufstriche/fruchtaufstriche/4304218732897/erdbeerkonfituere-passiert
y,Gefrierbeutel 3 l,1.0,1,7.0,search#1 name:gefrierbeutel,Gefrierbeutel 3l,OHO,"50 Stk (0,02 € / 1 Stk)",0.99,4304218153692,https://produkte.globus.de/kueche-haushalt/kuechenzubehoer/beutel-folien/4304218153692/gefrierbeutel-3l
n,Gefrierbeutel 3 l,1.0,2,6.7,search#2 name:gefrierbeutel,Doppelverschluss-Gefrierbeutel 3l,OHO,"15 Stk (0,10 € / 1 Stk)",1.5,4304218153753,https://produkte.globus.de/kueche-haushalt/kuechenzubehoer/beutel-folien/4304218153753/doppelverschluss-gefrierbeutel-3l
y,Gefrierbeutel 3 l,1.0,3,6.6,search#4 name:gefrierbeutel price:1.00,"Gefrierbeutel mit Standboden, 3l",Toppits,"30 Stk (0,03 € / 1 Stk)",1.0,4008871208064,https://produkte.globus.de/kueche-haushalt/kuechenzubehoer/beutel-folien/4008871208064/gefrierbeutel-mit-standboden-3l
y,H?hn.Innenbrustfilet,4.99,1,7.5,search#1 name:innenbrustfilet price:4.99,Hähnchen Innenbrustfilet,Fräulein Heidemarie,"0,4 kg (12,48 € / 1 kg)",4.99,4304218432971,https://produkte.globus.de/fleisch-wurst/fleisch/gefluegel/4304218432971/haehnchen-innenbrustfilet
y,JT Mozzarella gerieb,1.69,1,5.1,search#4 name:mozzarella brand:jeden+tag,"Mozzarella, gerieben",Jeden Tag,"0,25 kg (6,36 € / 1 kg)",,4306188407508,https://produkte.globus.de/milchprodukte-eier/kaese/reibekaese/4306188407508/mozzarella-gerieben
n,JT Mozzarella gerieb,1.69,2,4.0,search#1 name:mozzarella,"Mozzarella, gerieben, ideal für Pizza",Galbani,"0,15 kg (19,27 € / 1 kg)",2.89,3228023240020,https://produkte.globus.de/milchprodukte-eier/kaese/reibekaese/3228023240020/mozzarella-gerieben-ideal-fuer-pizza
n,JT Mozzarella gerieb,1.69,3,3.7,search#2 name:mozzarella,"Mozzarella gerieben, Original",Goldsteig,"0,2 kg (13,45 € / 1 kg)",2.69,4008432027103,https://produkte.globus.de/milchprodukte-eier/kaese/reibekaese/4008432027103/mozzarella-gerieben-original
n,JT Salami Edelschim,1.99,1,6.0,search#1 name:salami brand:jeden+tag,Salami Edelschimmel,Jeden Tag,"0,13 kg (15,12 € / 1 kg)",1.89,4306188062493,https://produkte.globus.de/fleisch-wurst/wurst-aufschnitt/salami-paprikawurst/4306188062493/salami-edelschimmel
n,JT Salami Edelschim,1.99,2,3.7,search#2 name:salami,Trüffel-Salami mit Edelschimmel,Wiltmann,"0,08 kg (28,63 € / 1 kg)",2.29,4001956212086,https://produkte.globus.de/fleisch-wurst/wurst-aufschnitt/salami-paprikawurst/4001956212086/trueffel-salami-mit-edelschimmel
n,JT Salami Edelschim,1.99,3,3.1,search#4 name:salami,"Edelschimmel-Salami, grob",Stockmeyer,"0,15 kg (18,60 € / 1 kg)",,4006639029203,https://produkte.globus.de/fleisch-wurst/wurst-aufschnitt/salami-paprikawurst/4006639029203/edelschimmel-salami-grob
y,JT Schoko Rosinen,1.69,1,7.0,search#1 name:rosinen+schoko brand:jeden+tag,"Schoko Rosinen, Vollmilchschokoladee",Jeden Tag,"0,2 kg (6,45 € / 1 kg)",1.29,4306188034971,https://produkte.globus.de/suesses-salziges/schokolade/sonstige-schokoladenartikel/4306188034971/schoko-rosinen-vollmilchschokoladee
n,JT Schoko Rosinen,1.69,2,4.7,search#2 name:rosinen+schoko,"Jumbo-Rosinen, Schoko",Meienburg,"0,2 kg (19,95 € / 1 kg)",,4009790007202,https://produkte.globus.de/suesses-salziges/schokolade/sonstige-schokoladenartikel/4009790007202/jumbo-rosinen-schoko
y,JT Schokoladeneis,1.89,1,4.6,search#4 brand:jeden+tag price:1.89,"Eis, Schokolade",Jeden Tag,"1 l (1,89 € / 1 l)",1.89,4306188053323,https://produkte.globus.de/tiefkuehlprodukte/eis/eis-grosspackungen/4306188053323/eis-schokolade
n,JT Schokoladeneis,1.89,2,3.0,search#1,"Eis Cremissimo, Schokolade",Mövenpick,"0,83 l (4,84 € / 1 l)",,8711327619470,https://produkte.globus.de/tiefkuehlprodukte/eis/eis-grosspackungen/8711327619470/eis-cremissimo-schokolade
n,JT Schokoladeneis,1.89,3,2.7,search#2,"Eis, Schokolade",Viennetta,"0,65 l (3,06 € / 1 l)",1.99,8711327589209,https://produkte.globus.de/tiefkuehlprodukte/eis/eis-grosspackungen/8711327589209/eis-schokolade
y,Kleenex KosT? Box,1.79,1,6.53,search#2 name:box brand:kleenex price:1.79,"Kosmetiktücher Box Ultra Soft, verschiedene Designs",Kleenex,"48 Stk (0,04 € / 1 Stk)",1.79,5029053578309,https://produkte.globus.de/koerperpflege-gesundheit-kosmetik/hygieneartikel/kosmetik-taschentuecher/5029053578309/kosmetiktuecher-box-ultra-soft-verschiedene-designs
n,Kleenex KosT? Box,1.79,2,6.33,search#1 name:box brand:kleenex,Taschentücher-Box Duo,Kleenex,"144 Stk (0,02 € / 1 Stk)",2.99,5029053579375,https://produkte.globus.de/koerperpflege-gesundheit-kosmetik/hygieneartikel/kosmetik-taschentuecher/5029053579375/taschentuecher-box-duo
n,Kleenex KosT? Box,1.79,3,5.73,search#3 name:box brand:kleenex,Taschentücher-Box Trio,Kleenex,"144 Stk (0,03 € / 1 Stk)",3.99,5029053580296,https://produkte.globus.de/koerperpflege-gesundheit-kosmetik/hygieneartikel/kosmetik-taschentuecher/5029053580296/taschentuecher-box-trio
y,Linsen Chips Paprika,1.49,1,7.0,search#1 name:chips+linsen+paprika,"Linsen Chips, Paprika",funny-frisch,"0,09 kg (22,11 € / 1 kg)",,4003586104120,https://produkte.globus.de/suesses-salziges/snacks-knabberzeug/chips/4003586104120/linsen-chips-paprika
y,Linsen Chips Paprika,1.49,2,6.7,search#2 name:chips+linsen+paprika,Linsen Chips Paprika,funny-frisch,"0,09 kg (22,11 € / 1 kg)",1.99,4003586107961,https://produkte.globus.de/suesses-salziges/snacks-knabberzeug/chips/4003586107961/linsen-chips-paprika
n,Linsen Chips Paprika,1.49,3,6.1,search#4 name:chips+linsen+paprika,"Häppy Chips Linsen, Paprika",Leicht & Cross,"0,09 kg (22,11 € / 1 kg)",1.99,4001518117675,https://produkte.globus.de/suesses-salziges/snacks-knabberzeug/chips/4001518117675/haeppy-chips-linsen-paprika
y,MANN.KAK.HN-T?RTCHEN,2.99,1,3.0,search#1,Waffeltaler mit Kakao-Haselnuss-Creme-Füllung,Manner,"0,4 kg (9,98 € / 1 kg)",,9000331607955,https://produkte.globus.de/suesses-salziges/gebaeck/waffelgebaeck/9000331607955/waffeltaler-mit-kakao-haselnuss-creme-fuellung
n,MANN.KAK.HN-T?RTCHEN,2.99,2,2.7,search#2,"Schoko-Waffeln Törtchen, Schoko Brownie",Manner,"0,4 kg (9,98 € / 1 kg)",,9000331627908,https://produkte.globus.de/suesses-salziges/gebaeck/waffelgebaeck/9000331627908/schoko-waffeln-toertchen-schoko-brownie
,Manner Kokos Waffeln,2.99,1,7.67,search#1 name:kokos+waffeln brand:manner,Kokos Waffeln,Manner,"0,4 kg (9,48 € / 1 kg)",,9000331607900,https://produkte.globus.de/suesses-salziges/gebaeck/waffelgebaeck/9000331607900/kokos-waffeln
y,Manner VK Schnitte,2.99,1,5.0,search#1 brand:manner,"Haselnuss-Schnitten, Waffeln",Manner,"0,4 kg (12,48 € / 1 kg)",,9000331607993,https://produkte.globus.de/suesses-salziges/gebaeck/waffelgebaeck/9000331607993/haselnuss-schnitten-waffeln
n,Manner VK Schnitte,2.99,2,2.7,search#2,Minze geschnitten,Ostmann,"0,01 kg (149,17 € / 1 kg)",1.79,4002674043716,https://produkte.globus.de/essig-oel-gewuerze-sossen/sossen-gewuerze/gewuerzmischungen/4002674043716/minze-geschnitten
n,Manner VK Schnitte,2.99,3,2.4,search#3,"Estragonblätter, geschnitten",Ostmann,"0,02 kg (139,50 € / 1 kg)",2.79,4002674072259,https://produkte.globus.de/essig-oel-gewuerze-sossen/sossen-gewuerze/gewuerzmischungen/4002674072259/estragonblaetter-geschnitten
y,Mr.Freed Avocado,2.59,1,7.0,search#1 name:avocado brand:freed,Tortilla Chips Avocado,Mister Freed,"0,14 kg (14,74 € / 1 kg)",1.99,5060367450578,https://produkte.globus.de/suesses-salziges/snacks-knabberzeug/chips/5060367450578/tortilla-chips-avocado
n,OHO Haushaltshandsch,0.99,1,5.5,search#1 brand:oho price:0.99,"Haushaltshandschuhe L, 1 Paar",OHO,,0.99,4304218150813,https://produkte.globus.de/kueche-haushalt/reinigungsmittel/reinigungszubehoer/4304218150813/haushaltshandschuhe-l-1-paar
y,OHO Haushaltshandsch,0.99,2,4.7,search#2 brand:oho,"Haushaltshandschuhe S, 1 Paar",OHO,,0.55,4304218150776,https://produkte.globus.de/kueche-haushalt/reinigungsmittel/reinigungszubehoer/4304218150776/haushaltshandschuhe-s-1-paar
n,OHO Haushaltshandsch,0.99,3,4.4,search#3 brand:oho,Haushaltshandschuhe Mittel,OHO,,0.69,4304218150790,https://produkte.globus.de/kueche-haushalt/reinigungsmittel/reinigungszubehoer/4304218150790/haushaltshandschuhe-mittel
y,SAATENBR?TCHEN 3+1,1.65,1,3.5,search#1 price:1.65,"Saatenbrötchen 3er (3x 1,000 Stück)",GLOBUS Meisterbäckerei,"3 Stk (0,55 € / 1 Stk)",1.65,2001609697033,https://produkte.globus.de/brot-backwaren-fruehstueck/meisterbaeckerei/brot-broetchen/2001609697033/saatenbroetchen-3er-3x-1-000-stueck
n,SAATENBR?TCHEN 3+1,1.65,2,2.7,search#2,"Saatenbrötchen 5er (5x 1,000 Stück)",GLOBUS Meisterbäckerei,"5 Stk (0,53 € / 1 Stk)",2.65,2001609697026,https://produkte.globus.de/brot-backwaren-fruehstueck/meisterbaeckerei/brot-broetchen/2001609697026/saatenbroetchen-5er-5x-1-000-stueck
n,SAATENBR?TCHEN 3+1,1.65,3,2.4,search#3,Saatenbrötchen Low Carb,Steiner,"0,28 kg (10,68 € / 1 kg)",,9180007870422,https://produkte.globus.de/brot-backwaren-fruehstueck/brot-backwaren/brot-broetchen/9180007870422/saatenbroetchen-low-carb
y,Schofrulade Erdbeere,3.89,1,7.0,search#1 name:erdbeere+schofrulade,"Schofrulade Erdbeere, tielfgekühlt",Oswald,"0,13 l (23,00 € / 1 l)",2.99,5901122237129,https://produkte.globus.de/tiefkuehlprodukte/eis/eis-desserts/5901122237129/schofrulade-erdbeere-tielfgekuehlt
y,Snack Minis 300g,2.99,1,7.67,search#1 name:minis+snack size:300g,"Waffeln Snack minis, Milch-Haselnuss",Manner,"0,3 kg (12,63 € / 1 kg)",,9000331607702,https://produkte.globus.de/suesses-salziges/gebaeck/waffelgebaeck/9000331607702/waffeln-snack-minis-milch-haselnuss
n,Snack Minis 300g,2.99,2,7.37,search#2 name:minis+snack size:300g,"Waffeln Snack minis, Milch-Schoko",Manner,"0,3 kg (12,63 € / 1 kg)",,9000331607719,https://produkte.globus.de/suesses-salziges/gebaeck/waffelgebaeck/9000331607719/waffeln-snack-minis-milch-schoko
y,Snack Minis Schoko 3,2.99,1,7.0,search#1 name:minis+schoko+snack,"Waffeln Snack minis, Milch-Schoko",Manner,"0,3 kg (12,63 € / 1 kg)",,9000331607719,https://produkte.globus.de/suesses-salziges/gebaeck/waffelgebaeck/9000331607719/waffeln-snack-minis-milch-schoko
n,Snack Minis Schoko 3,2.99,2,2.7,search#2,Mini Erdnuss-Karamell-Schokoriegel,Snickers,"0,15 kg (13,27 € / 1 kg)",1.99,5000159560061,https://produkte.globus.de/suesses-salziges/schokolade/schokoriegel/5000159560061/mini-erdnuss-karamell-schokoriegel
n,Snack Minis Schoko 3,2.99,3,2.4,search#3,"Mini Schokowürfel, Herzbox",Ritter Sport,"0,12 kg (41,93 € / 1 kg)",4.99,4000417600103,https://produkte.globus.de/suesses-salziges/snacks-knabberzeug/gebaeckstangen-grissini/4000417600103/mini-schokowuerfel-herzbox
couldn't find in the websitge,T?rt SchokBrownie 40,2.99,-,,no candidate,,,,,,
y,Tempo Box Duo,3.69,1,7.37,search#2 name:box+duo brand:tempo,"Taschentücher-Box Duo, Original",Tempo,"200 Stk (0,02 € / 1 Stk)",,7322541402826,https://produkte.globus.de/koerperpflege-gesundheit-kosmetik/hygieneartikel/kosmetik-taschentuecher/7322541402826/taschentuecher-box-duo-original
n,Tempo Box Duo,3.69,2,5.67,search#1 name:box+duo,Taschentücher-Box Duo,Kleenex,"144 Stk (0,02 € / 1 Stk)",2.99,5029053579375,https://produkte.globus.de/koerperpflege-gesundheit-kosmetik/hygieneartikel/kosmetik-taschentuecher/5029053579375/taschentuecher-box-duo
added the website,Valle Secreto Verdot,7.0,-,,no candidate,,,,,,https://produkte.globus.de/dudweiler/getraenke/wein/rotwein/7804628030653/rotwein-first-edition
